date,close,volume,open,high,low,nextClose,,move 7 Day,move 30 Day
1/19/12,61.1071,65151.043,61.45,61.6241,60.93,60.0428,1042,0.86,4.9628
1/20/12,60.0428,103061.661,61.07,61.0714,59.9643,61.0584,1041,-0.42,4.1928
1/23/12,61.0584,76162.193,60.3814,61.2071,60.3286,60.0586,1040,0.6941,5.4741
1/24/12,60.0586,127725.188,60.7286,60.7286,59.9357,63.8086,1039,-0.14,4.25
1/25/12,63.8086,239249.712,64.92,64.9214,63.39,63.5186,1038,3.8358,7.5772
1/26/12,63.5186,80913.094,64.0514,64.1128,63.3057,63.8971,1037,2.8472,7.5415
1/27/12,63.8971,74902.122,63.4771,64.0686,63.3957,64.7157,1036,2.5957,8.3528
1/30/12,64.7157,94626.868,63.6728,64.8428,63.6271,65.2114,1035,3.6086,10.4029
1/31/12,65.2114,97874.379,65.0843,65.4628,64.7243,65.17,1034,5.1686,11.0771
2/1/12,65.17,67269.418,65.4871,65.57,65.0786,65.0171,1033,4.1116,10.7386
2/2/12,65.0171,46615.058,65.1286,65.31,64.8543,65.6686,1032,4.9585,10.4157
2/3/12,65.6686,71618.981,65.3286,65.7143,65.08,66.2814,1031,1.86,9.1043
2/6/12,66.2814,62225.658,65.4828,66.4257,65.4573,66.9757,1030,2.7628,9.6464
2/7/12,66.9757,78941.684,66.4643,67.1071,66.3687,68.0971,1029,3.0786,10.04
2/8/12,68.0971,101696.381,67.2143,68.1128,67.1,70.4528,1028,3.3814,10.4785
2/9/12,70.4528,220416.976,68.68,70.9643,68.6514,70.4886,1027,5.2414,12.3771
2/10/12,70.4886,157587.127,70.1371,71.0886,69.7928,71.8,1026,5.3186,12.9686
2/13/12,71.8,128970.559,71.3614,71.9757,71.0128,72.78,1025,6.7829,13.9257
2/14/12,72.78,114963.904,72.0943,72.7943,71.7143,71.0957,1024,7.1114,14.9229
2/15/12,71.0957,374517.892,73.4657,75.1843,70.9843,71.7443,1023,4.8143,12.3486
2/16/12,71.7443,235805.641,70.2143,72.1271,69.5186,71.7314,1022,4.7686,12.6815
2/17/12,71.7314,133666.3,71.8728,72.5385,71.4714,73.55,1021,3.6343,12.0128
2/21/12,73.55,150412.545,72.4114,73.55,72.0171,73.2914,1020,3.0972,13.2072
2/22/12,73.2914,120564.116,73.2971,73.6414,72.7243,73.77,1019,2.8028,13.0443
2/23/12,73.77,141721.973,73.5828,73.9756,72.7857,74.63,1018,1.97,13.3072
2/24/12,74.63,103715.531,74.2385,74.7,74.0914,75.1085,1017,1.85,14.2657
2/27/12,75.1085,136457.481,74.4728,75.5,73.7543,76.4871,1016,4.0128,14.9099
2/28/12,76.4871,149434.575,75.4228,76.4871,75.1214,77.4914,1015,4.7428,16.5143
2/29/12,77.4914,237448.891,77.3657,78.23,76.5285,77.7814,1014,5.76,16.82
3/1/12,77.7814,170563.731,78.31,78.3157,76.9671,77.8828,1013,4.2314,16.48
3/2/12,77.8828,107544.392,77.7485,78.1143,77.5028,76.1657,1012,4.5914,16.7757
3/5/12,76.1657,201797.181,77.9171,78.2114,75.1428,75.7514,1011,2.3957,16.1229
3/6/12,75.7514,202211.301,74.8085,76.2414,73.7458,75.8128,1010,1.1214,14.693
3/7/12,75.8128,198964.91,76.6857,76.8257,74.7571,77.4271,1009,0.7043,15.7542
3/8/12,77.4271,128668.929,76.3843,77.57,76.0171,77.8814,1008,0.94,13.6185
3/9/12,77.8814,104560.151,77.7443,78.2485,77.5871,78.8571,1007,0.39,14.3628
3/12/12,78.8571,101001,78.426,78.8571,78.1428,81.1571,1006,1.0757,14.96
3/13/12,81.1571,172173.592,79.6485,81.1685,79.3928,84.2257,1005,3.2743,16.4414
3/14/12,84.2257,353599.156,82.5785,84.96,82.2,83.6514,1004,8.06,19.0143
3/15/12,83.6514,289496.777,85.6585,85.7157,82.65,83.6528,1003,7.9,18.4814
3/16/12,83.6528,206076.492,83.5314,84.1714,82.5714,85.8714,1002,7.84,18.6357
3/19/12,85.8714,224435.817,85.4814,85.9671,84.15,86.5657,1001,8.4443,20.2028
3/20/12,86.5657,203497.481,85.6443,86.7,83.1428,86.0714,1000,8.6843,20.2843
3/21/12,86.0714,160447.118,86.1057,87.0928,85.9157,85.62,999,7.2143,19.0957
3/22/12,85.62,155867.437,85.3971,86.3571,85.0757,85.15,998,4.4629,17.5229
3/23/12,85.15,107403.062,85.7843,85.9714,84.9144,86.7114,997,0.9243,14.6972
3/26/12,86.7114,148719.035,85.6843,86.7357,85.0371,87.7828,996,3.06,16.2228
3/27/12,87.7828,151353.625,86.5971,88.04,86.58,88.2314,995,4.13,15.9828
3/28/12,88.2314,163667.329,88.34,88.7785,87.1871,87.1228,994,2.36,15.4514
3/29/12,87.1228,151111.705,87.54,88.08,86.7471,85.65,993,0.5571,16.0271
3/30/12,85.65,182067.395,86.9671,87.2228,85.42,88.3757,992,-0.4214,13.9057
4/2/12,88.3757,149091.365,85.9757,88.3957,85.7685,89.9028,991,2.7557,16.6443
4/3/12,89.9028,208117.692,89.6143,90.3157,88.93,89.1871,990,4.7528,16.3528
4/4/12,89.1871,142980.433,89.1928,89.4085,88.1428,90.5257,989,2.4757,15.8957
4/5/12,90.5257,159997.578,89.5685,90.6657,89.0571,90.89,988,2.7429,16.7557
4/9/12,90.89,149052.655,89.4471,91.4057,89.3285,89.7771,987,2.6586,16.26
4/10/12,89.7771,221909.237,91.4185,92,89.4285,89.4571,986,2.6543,14.6686
4/11/12,89.4571,173844.142,90.8857,90.9814,89.0489,88.9671,985,3.8071,12.97
4/12/12,88.9671,153188.746,89.2857,90.19,88.6428,86.4614,984,0.5914,11.4757
4/13/12,86.4614,214640.084,89.1585,89.2428,86.2157,82.8757,983,-3.4414,8.68
4/16/12,82.8757,262356.159,87.1514,87.1828,82.6071,87.1,982,-6.3114,4.9929
4/17/12,87.1,255328.647,82.7057,87.1428,81.7014,86.9057,981,-3.4257,10.9343
4/18/12,86.9057,238277.411,87.6743,88.6071,86.1014,83.92,980,-3.9843,11.1543
4/19/12,83.92,208302.982,85.7457,86.3903,83.5028,81.8543,979,-5.8571,8.1072
4/20/12,81.8543,257480.867,84.4828,84.9457,81.4885,81.6714,978,-7.6028,4.4272
4/23/12,81.6714,241398.292,81.5157,82.3814,79.5171,80.04,977,-7.2957,3.79
4/24/12,80.04,263552.249,80.3728,81.0985,79.2857,87.1428,976,-6.4214,1.1829
4/25/12,87.1428,225862.488,87.9478,88.2857,86.5714,86.8143,975,4.2671,5.9857
4/26/12,86.8143,133588.81,87.7528,87.8128,86.0185,86.1428,974,-0.2857,2.5886
4/27/12,86.1428,101533.91,86.4385,86.5971,85.7857,83.4257,973,-0.7629,2.4914
4/30/12,83.4257,126321.688,85.4,85.4857,83.2857,83.1614,972,-0.4943,-0.2271
5/1/12,83.1614,152492.176,83.5571,85.2514,83.0328,83.7114,971,1.3071,-2.71
5/2/12,83.7114,106750.312,82.8914,83.9142,82.6943,83.1171,970,2.04,-2.8543
5/3/12,83.1171,97380.669,84.3571,84.4857,82.9,80.75,969,3.0771,-2.9543
5/4/12,80.75,132304.52,82.44,82.6228,80.7385,81.3543,968,-6.3928,-4.87
5/7/12,81.3543,114959.564,80.2143,81.8243,80.1757,81.1685,967,-5.46,-3.7957
5/8/12,81.1685,124080.357,81.3685,81.6428,79.8185,81.3114,966,-4.9743,-5.5429
5/9/12,81.3114,120022.806,80.5285,81.9968,80.1214,81.5028,965,-2.1143,-6.4714
5/10/12,81.5028,83026.395,82.0828,82.2685,81.2058,80.9585,964,-1.6586,-6.7286
5/11/12,80.9585,99653.57,80.7143,82.0671,80.6214,79.7457,963,-2.7529,-6.1643
5/14/12,79.7457,87975.396,80.3671,81.0728,79.6571,79.0243,962,-3.3714,-5.9043
5/15/12,79.0243,118859.546,80.2071,80.46,78.8214,78.0107,961,-1.7257,-9.3514
5/16/12,78.0107,139914.782,79.15,79.5557,77.2914,75.7314,960,-3.3436,-11.8921
5/17/12,75.7314,178603.164,77.9014,78.2143,75.7314,75.7685,959,-5.4371,-13.4557
5/18/12,75.7685,182773.345,76.28,77.63,74.5971,80.1828,958,-5.5429,-14.7572
5/21/12,80.1828,157250.007,76.3571,80.22,76.2928,79.5671,957,-1.32,-10.7072
5/22/12,79.5671,173417.772,81.3643,81.9828,78.94,81.5085,956,-1.3914,-10.21
5/23/12,81.5085,145594.164,79.6428,81.8285,79.0328,80.76,955,1.7628,-7.9486
5/24/12,80.76,123856.147,82.2671,82.3571,80.1757,80.3271,954,1.7357,-8.2071
5/25/12,80.3271,81958.125,80.6557,80.8357,79.7817,81.7528,953,2.3164,-6.1343
5/29/12,81.7528,94973.228,81.5571,82,80.7585,82.7385,952,6.0214,-1.1229
5/30/12,82.7385,132188.32,81.3143,82.8557,80.9371,82.5328,951,6.97,-4.3615
5/31/12,82.5328,122817.347,82.9628,83.0714,81.6371,80.1414,950,2.35,-4.3729
6/1/12,80.1414,130080.689,81.3085,81.8071,80.0743,80.6128,949,0.5743,-3.7786
6/4/12,80.6128,138991.972,80.2143,81.0714,78.3571,80.4043,948,-0.8957,-1.2415
6/5/12,80.4043,96944.429,80.1814,80.9243,79.7614,81.6371,947,-0.3557,-1.2671
6/6/12,81.6371,100135.8,81.11,81.9785,80.7857,81.6743,946,1.31,1.5971
6/7/12,81.6743,94916.808,82.47,82.4743,81.5,82.9028,945,-0.0785,-5.4685
6/8/12,82.9028,86587.996,81.6571,82.9405,81.2857,81.5957,944,0.1643,-3.9115
6/11/12,81.5957,147605.824,83.96,84.0714,81.5185,82.3085,943,-0.9371,-4.5471
6/12/12,82.3085,108784.723,82.0657,82.3743,80.9571,81.7371,942,2.1671,-1.1172
6/13/12,81.7371,73380.042,82.0743,82.64,81.4828,81.6471,941,1.1243,-1.4243
